DateOfOfqualDataSnapshot,QualificationName,AwardingOrganisation,QualificationNumber,Level,QualificationType,Subcategory,SectorSubjectArea,Status,Age1416_FundingAvailable,Age1416_FundingApprovalStartDate,Age1416_FundingApprovalEndDate,Age1416_Notes,Age1619_FundingAvailable,Age1619_FundingApprovalStartDate,Age1619_FundingApprovalEndDate,Age1619_Notes,LocalFlexibilities_FundingAvailable,LocalFlexibilities_FundingApprovalStartDate,LocalFlexibilities_FundingApprovalEndDate,LocalFlexibilities_Notes,LegalEntitlementL2L3_FundingAvailable,LegalEntitlementL2L3_FundingApprovalStartDate,LegalEntitlementL2L3_FundingApprovalEndDate,LegalEntitlementL2L3_Notes,LegalEntitlementEnglishandMaths_FundingAvailable,LegalEntitlementEnglishandMaths_FundingApprovalStartDate,LegalEntitlementEnglishandMaths_FundingApprovalEndDate,LegalEntitlementEnglishandMaths_Notes,DigitalEntitlement_FundingAvailable,DigitalEntitlement_FundingApprovalStartDate,DigitalEntitlement_FundingApprovalEndDate,DigitalEntitlement_Notes,ESFLevel34_FundingAvailable,ESFLevel34_FundingApprovalStartDate,ESFLevel34_FundingApprovalEndDate,ESFLevel34_Notes,AdvancedLearnerLoans_FundingAvailable,AdvancedLearnerLoans_FundingApprovalStartDate,AdvancedLearnerLoans_FundingApprovalEndDate,AdvancedLearnerLoans_Notes,AwardingOrganisationURL,L3FreeCoursesForJobs_FundingAvailable,L3FreeCoursesForJobs_FundingApprovalStartDate,L3FreeCoursesForJobs_FundingApprovalEndDate,L3FreeCoursesForJobs_Notes
22/10/2024,AAT Level 1 Award in Bookkeeping ,Association of Accounting Technicians,61008187,Level 1,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/09/2022,31/07/2026,,True,01/09/2022,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AAT Level 1 Award in Business Skills,Association of Accounting Technicians,61008199,Level 1,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/09/2022,31/07/2026,,True,01/09/2022,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,City & Guilds Level 1 Award in Computerised Accounts,City and Guilds of London Institute,50042932,Level 1,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/09/2008,31/07/2026,,True,01/08/2016,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,City & Guilds Level 1 Award in Book-Keeping and Accounts,City and Guilds of London Institute,5004767X,Level 1,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,08/09/2008,31/07/2026,,True,01/08/2016,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,Highfield Level 1 Award in Accounting (RQF),Highfield Qualifications,60313286,Level 1,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,28/04/2017,31/07/2026,,True,26/04/2017,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,Highfield Level 1 Award in Computerised Payroll (RQF),Highfield Qualifications,60364245,Level 1,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,28/08/2020,31/07/2026,,True,28/08/2020,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,IAB  Level 1 Award in Bookkeeping ,Institute of Accountants and Bookkeepers,60190656,Level 1,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/07/2016,31/07/2026,,True,01/08/2016,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,IAB Level 1 Award in Payroll for Business,Institute of Accountants and Bookkeepers,60330223,Level 1,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,False,,,,True,04/03/2018,31/12/2025,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,VTCT (Skillsfirst) Level 1 Award in Computerised Payroll for Business (RQF) ,VTCT,60155103,Level 1,Occupational Qualification,,Accounting and finance,Approved,False,,,,True,01/02/2015,31/07/2025,,True,01/08/2016,31/07/2025,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,VTCT (Skillsfirst) Level 1 Award in Computerised Accounting for Business (RQF),VTCT,60172885,Level 1,Occupational Qualification,,Accounting and finance,Approved,False,,,,True,01/09/2015,31/07/2025,,True,01/08/2016,31/07/2025,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,LIBF Level 1/2 Technical Award in Finance,The London Institute of Banking & Finance,60373222,Level 1/2,Vocationally-Related Qualification,,Accounting and finance,Approved,True,01/09/2022,31/08/2025,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AAT Level 2 Certificate in Accounting,Association of Accounting Technicians,60363381,Level 2,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/02/2022,31/07/2026,,True,01/02/2022,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AAT Level 2 Certificate in Bookkeeping,Association of Accounting Technicians,60363435,Level 2,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/02/2022,31/07/2026,,True,01/02/2022,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,ACCA  Diploma in Financial and Management Accounting (RQF Level 2),Association of Chartered Certified Accountants,60107728,Level 2,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/10/2013,31/07/2026,,True,01/08/2016,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,CISI Level 2 Award In Fundamentals of Financial Services ,Chartered Institute for Securities & Investment,60134847,Level 2,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/08/2014,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,City & Guilds Level 2 Award in Computerised Accounts,City and Guilds of London Institute,50042920,Level 2,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/09/2008,31/07/2026,,True,01/08/2016,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,Highfield Level 2 Certificate in Computerised Payroll (RQF),Highfield Qualifications,60364257,Level 2,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,28/08/2020,31/07/2026,,True,28/08/2020,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,IAB Level 2 Certificate in Bookkeeping,Institute of Accountants and Bookkeepers,60190619,Level 2,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/07/2016,31/07/2026,,True,01/08/2016,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,IAB Level 2 Certificate in Computerised Accounting for Business,Institute of Accountants and Bookkeepers,60327352,Level 2,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/12/2017,31/12/2025,,True,01/12/2017,31/12/2025,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,IAB Level 2 Award in Payroll for Business,Institute of Accountants and Bookkeepers,60334083,Level 2,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,False,,,,True,01/08/2018,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,VTCT (Skillsfirst) Level 2 Certificate in Computerised Accounting for Business (RQF),VTCT,60149541,Level 2,Occupational Qualification,,Accounting and finance,Approved,False,,,,True,01/12/2014,31/07/2026,,True,01/08/2016,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,VTCT (Skillsfirst) Level 2 Certificate in Computerised Payroll for Business (RQF),VTCT,60155115,Level 2,Occupational Qualification,,Accounting and finance,Approved,False,,,,True,01/02/2015,31/07/2026,,True,01/08/2016,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AQA Level 3 Advanced GCE in Accounting,AQA Education,60309209,Level 3,GCE A Level,,Accounting and finance,Approved,True,29/08/2017,31/07/2026,,True,29/08/2017,31/07/2026,,False,,,,True,29/08/2017,31/07/2026,,False,,,,False,,,,False,,,,True,29/08/2017,31/07/2026,,,True,01/04/2021,31/07/2026,
22/10/2024,AAT Level 3 Diploma in Accounting,Association of Accounting Technicians,6036337X,Level 3,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/09/2022,31/07/2025,,False,,,,False,,,,False,,,,False,,,,False,,,,True,01/09/2022,31/07/2026,,https://www.aat.org.uk/deliver/qualifications/specifications-outlines,True,01/09/2022,31/07/2026,
22/10/2024,AAT Level 3 Certificate in Bookkeeping,Association of Accounting Technicians,60363447,Level 3,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/02/2022,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,True,01/02/2022,31/07/2026,,https://www.aat.org.uk/deliver/qualifications/specifications-outlines,True,14/07/2022,31/07/2026,
22/10/2024,ACCA Diploma in Financial and Management Accounting (RQF Level 3),Association of Chartered Certified Accountants,6010773X,Level 3,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/10/2013,31/07/2025,,False,,,,False,,,,False,,,,False,,,,False,,,,True,01/08/2016,31/07/2026,,,True,22/11/2021,31/07/2026,
22/10/2024,ATHE Level 3 Diploma in Accounting ,ATHE Ltd,60365584,Level 3,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,28/08/2020,31/07/2025,,False,,,,False,,,,False,,,,False,,,,False,,,,True,28/08/2020,31/07/2026,,https://www.athe.co.uk/qualifications/international-access-programme,True,20/02/2023,31/07/2026,
22/10/2024,CISI Level 3 Award for Introduction to Investment,Chartered Institute for Securities & Investment,50107823,Level 3,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/08/2010,31/07/2025,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,IAB Level 3 Certificate in Computerised Accounting for Business,Institute of Accountants and Bookkeepers,60327376,Level 3,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/12/2017,31/12/2025,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,IAB Level 3 Diploma in Accounting and Cash Management,Institute of Accountants and Bookkeepers,60327558,Level 3,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,04/12/2017,31/12/2025,,False,,,,False,,,,False,,,,False,,,,False,,,,True,04/12/2017,31/12/2025,,,True,18/08/2022,31/12/2025,
22/10/2024,Access to HE Diploma (Business and Finance),OCN London,40011896,Level 3,Access to Higher Education,,Accounting and finance,Approved,False,,,,True,01/08/2019,31/07/2026,,False,,,,True,01/08/2019,31/07/2026,,False,,,,False,,,,False,,,,True,01/08/2019,31/07/2026,,,False,,,
22/10/2024,OTHM Level 3 Foundation Diploma in Accountancy,OTHM Qualifications,60338118,Level 3,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/04/2019,31/07/2025,,False,,,,False,,,,False,,,,False,,,,False,,,,True,13/11/2018,31/07/2026,,https://www.othm.org.uk/doc/specification/OTHM_L3_FDip_Acc_spec18_11.pdf,False,,,
22/10/2024,T Level Technical Qualification in Accounting (Level 3) (delivered by Pearson),Pearson Education Ltd,61000079,Level 3,Technical Qualification,,Accounting and finance,Approved,False,,,,True,01/09/2022,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,T Level Technical Qualification in Finance (Level 3) (delivered by Pearson),Pearson Education Ltd,6100008X,Level 3,Technical Qualification,,Accounting and finance,Approved,False,,,,True,01/09/2022,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,LIBF Level 3 Certificate in Financial Studies,The London Institute of Banking & Finance,6008537X,Level 3,Other General Qualification,,Accounting and finance,Approved,False,,,,True,01/04/2013,31/08/2025,,False,,,,True,01/08/2016,31/08/2025,,False,,,,False,,,,False,,,,True,01/08/2016,31/08/2025,,,False,,,
22/10/2024,LIBF Level 3 Diploma in Financial Studies ,The London Institute of Banking & Finance,60085514,Level 3,Other General Qualification,,Accounting and finance,Approved,False,,,,True,01/04/2013,31/08/2025,,False,,,,True,01/08/2016,31/08/2025,,False,,,,False,,,,False,,,,True,01/08/2016,31/08/2025,,,False,,,
22/10/2024,VTCT (Skillsfirst) Level 3 Diploma in Computerised Accounting for Business (RQF),VTCT,60175382,Level 3,Occupational Qualification,,Accounting and finance,Approved,False,,,,True,01/09/2015,31/07/2025,,False,,,,False,,,,False,,,,False,,,,False,,,,True,01/08/2016,31/07/2026,,,True,22/11/2021,31/07/2026,
22/10/2024,AAT Level 4 Diploma in Professional Accounting,Association of Accounting Technicians,60363393,Level 4,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/09/2022,31/07/2026,18+ only,False,,,,False,,,,False,,,,False,,,,False,,,,True,01/09/2022,31/07/2025,,https://www.aat.org.uk/deliver/qualifications/specifications-outlines,False,,,
22/10/2024,ACCA  Diploma in Accounting and Business  (RQF Level 4),Association of Chartered Certified Accountants,60107716,Level 4,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/10/2013,31/07/2026,18+ only,False,,,,False,,,,False,,,,False,,,,False,,,,True,01/08/2016,31/07/2025,,,False,,,
22/10/2024,ACCA  Certificate in Taxation (RQF Level 4) ,Association of Chartered Certified Accountants,60110740,Level 4,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/10/2013,31/07/2026,18+ only,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,ACCA  Certificate in Financial Management (RQF Level 4),Association of Chartered Certified Accountants,60110752,Level 4,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/10/2013,31/07/2026,18+ only,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,ACCA Certificate In Audit (RQF Level 4),Association of Chartered Certified Accountants,60110764,Level 4,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/10/2013,31/07/2026,18+ only,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,ATHE Level 4 Diploma in Accounting (2024),ATHE Ltd,61033091,Level 4,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,True,12/02/2024,31/07/2025,,https://athe.co.uk/qualifications,False,,,
22/10/2024,ATHE Level 4 Extended Diploma in Accounting (2024),ATHE Ltd,61033108,Level 4,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,True,12/02/2024,31/07/2025,,https://athe.co.uk/qualifications,False,,,
22/10/2024,CISI Level 4 Diploma in Investment Advice ,Chartered Institute for Securities & Investment,5010746X,Level 4,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/01/2014,31/07/2026,18+ only,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,CISI Level 4 Certificate in Paraplanning,Chartered Institute for Securities & Investment,60070067,Level 4,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/11/2012,31/07/2026,18+ only,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,CISI Level 4 Certificate In Investment Management,Chartered Institute for Securities & Investment,60092622,Level 4,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/06/2013,31/07/2026,18+ only,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,CII Level 4 Diploma in Regulated Financial Planning,Chartered Insurance Institute,50100245,Level 4,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/12/2012,31/07/2026,18+ only,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,CII Level 4 Diploma In Insurance ,Chartered Insurance Institute,60125214,Level 4,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/02/2014,31/07/2026,18+ only,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,Qualifi Level 4 Diploma in Accounting and Finance,Qualifi Ltd,61007961,Level 4,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/08/2023,31/07/2026,18+ only,False,,,,False,,,,False,,,,False,,,,False,,,,True,01/08/2023,31/07/2025,,,False,,,
22/10/2024,SFJ Awards Level 4 Professional Certificate in Counter Bribery and Corruption,SFJ Awards Ltd,60377732,Level 4,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/08/2021,31/07/2026,18+ only,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,LIBF Level 4 Certificate For Specialists in Demand Guarantees,The London Institute of Banking & Finance,60126358,Level 4,Occupational Qualification,,Accounting and finance,Approved,False,,,,True,01/03/2014,31/07/2026,18+ only,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,ATHE Level 5 Diploma in Accounting (2024),ATHE Ltd,6103311X,Level 5,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,True,12/02/2024,31/07/2025,,https://athe.co.uk/qualifications,False,,,
22/10/2024,ATHE Level 5 Extended Diploma in Accounting (2024),ATHE Ltd,61033121,Level 5,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,True,12/02/2024,31/07/2025,,https://athe.co.uk/qualifications,False,,,
22/10/2024,Qualifi Level 5 Diploma in Accounting and Finance,Qualifi Ltd,61007973,Level 5,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/08/2023,31/07/2026,18+ only,False,,,,False,,,,False,,,,False,,,,False,,,,True,01/08/2023,31/07/2025,,,False,,,
22/10/2024,VTCT (Skillsfirst) Level 5 Diploma in Financial Trading (RQF),VTCT,60162065,Level 5,Occupational Qualification,,Accounting and finance,Approved,False,,,,True,01/06/2015,31/07/2024,18+ only,False,,,,False,,,,False,,,,False,,,,False,,,,True,01/08/2016,31/07/2025,,http://skillsfirst.co.uk/index.php?page=qualifications&url=ftd5-level-5-diploma-in-financial-trading-rqf&id=11203&type=Article,False,,,
22/10/2024,VTCT Level 5 Advanced Diploma in Financial Trading,VTCT,60186501,Level 5,Occupational Qualification,,Accounting and finance,Approved,False,,,,True,01/04/2016,31/07/2025,18+ only,False,,,,False,,,,False,,,,False,,,,False,,,,True,01/08/2016,31/07/2025,,http://qualifications.vtct.org.uk/finder/qualfinder/qual.php?qual=BU5D1,False,,,
22/10/2024,VTCT Level 5 Advanced Diploma in Options Trading,VTCT,60334903,Level 5,Occupational Qualification,,Accounting and finance,Approved,False,,,,True,01/08/2018,31/07/2025,18+ only,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,CII Level 6 Advanced Diploma in Financial Planning,Chartered Insurance Institute,50034455,Level 6,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,14/01/2008,31/07/2026,18+ only,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,CII Level 6 Award in Regulated Pension Transfer Advice,Chartered Insurance Institute,60375978,Level 6,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/09/2021,31/07/2026,18+ only,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,OTHM Level 6 Diploma in Accounting and Business,OTHM Qualifications,60340186,Level 6,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,28/01/2019,31/07/2026,18+ only,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,"AIM Qualifications Entry 3 Award in Skills for Working in Business, Administration and Customer Service Industries Industries",AIM Qualifications,60315805,Entry Level,Vocationally-Related Qualification,,Administration,Approved,True,01/05/2018,31/07/2026,,True,01/05/2018,31/07/2026,,True,01/07/2017,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,"AIM Qualifications Entry 3 Certificate in Skills for Working in Business, Administration and Customer Service Industries",AIM Qualifications,60315829,Entry Level,Vocationally-Related Qualification,,Administration,Approved,True,01/05/2018,31/07/2026,,True,01/05/2018,31/07/2026,,True,01/07/2017,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,"AIM Qualifications Entry 3 Diploma in Skills for Working in Business, Administration and Customer Service Industries",AIM Qualifications,60315842,Entry Level,Vocationally-Related Qualification,,Administration,Approved,True,01/05/2018,31/07/2026,,True,01/05/2018,31/07/2026,,True,01/07/2017,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,City & Guilds Entry Level Certificate for Introduction to Customer Service (Entry 3) ,City and Guilds of London Institute,50118389,Entry Level,Vocationally-Related Qualification,,Administration,Approved,True,01/09/2010,31/07/2026,,True,01/09/2010,31/07/2026,,True,01/08/2016,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,City & Guilds Entry Level Award for Introduction to Customer Service (Entry 3),City and Guilds of London Institute,50118407,Entry Level,Vocationally-Related Qualification,,Administration,Approved,True,01/09/2010,31/07/2026,,True,01/09/2010,31/07/2026,,True,01/08/2016,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,Focus Awards Entry Level Certificate for Introduction to Customer Service (Entry 3) (RQF),Focus Awards Limited,60186847,Entry Level,Occupational Qualification,,Administration,Approved,False,,,,False,,,,True,01/08/2016,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,Open Awards Entry Level Award in Business Administration Skills (Entry 1) (RQF),Open Awards,60360793,Entry Level,Vocationally-Related Qualification,,Administration,Approved,True,01/08/2020,31/07/2026,,True,01/08/2020,31/07/2026,,True,01/08/2020,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,Open Awards Entry Level Certificate in Business Administration Skills (Entry 1) (RQF),Open Awards,6036080X,Entry Level,Vocationally-Related Qualification,,Administration,Approved,True,01/08/2020,31/07/2026,,True,01/08/2020,31/07/2026,,True,01/08/2020,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,Open Awards Entry Level Award in Business Administration Skills (Entry 2) (RQF),Open Awards,60360811,Entry Level,Vocationally-Related Qualification,,Administration,Approved,True,01/08/2020,31/07/2026,,True,01/08/2020,31/07/2026,,True,01/08/2020,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,Open Awards Entry Level Certificate in Business Administration Skills (Entry 2) (RQF),Open Awards,60360823,Entry Level,Vocationally-Related Qualification,,Administration,Approved,True,01/08/2020,31/07/2026,,True,01/08/2020,31/07/2026,,True,01/08/2020,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,Open Awards Entry Level Award in Business Administration Skills (Entry 3) (RQF),Open Awards,60360835,Entry Level,Vocationally-Related Qualification,,Administration,Approved,True,01/08/2020,31/07/2026,,True,01/08/2020,31/07/2026,,True,01/08/2020,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,Open Awards Entry Level Certificate in Business Administration Skills (Entry 3) (RQF),Open Awards,60360847,Entry Level,Vocationally-Related Qualification,,Administration,Approved,True,01/08/2020,31/07/2026,,True,01/08/2020,31/07/2026,,True,01/08/2020,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,"AIM Qualifications Level 1 Award in Skills for Working in Business, Administration and Customer Service Industries",AIM Qualifications,60315854,Level 1,Vocationally-Related Qualification,,Administration,Approved,True,01/05/2018,31/07/2026,,True,01/05/2018,31/07/2026,,True,01/07/2017,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,"AIM Qualifications Level 1 Extended Award in Skills for Working in Business, Administration and Customer Service Industries",AIM Qualifications,60315866,Level 1,Vocationally-Related Qualification,,Administration,Approved,True,01/05/2018,31/07/2026,,True,01/05/2018,31/07/2026,,True,01/07/2017,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,"AIM Qualifications Level 1 Certificate in Skills for Working in Business, Administration and Customer Service Industries",AIM Qualifications,60315878,Level 1,Vocationally-Related Qualification,,Administration,Approved,True,01/05/2018,31/07/2026,,True,01/05/2018,31/07/2026,,True,01/07/2017,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,"AIM Qualifications Level 1 Extended Certificate in Skills for Working in Business, Administration and Customer Service Industries",AIM Qualifications,6031588X,Level 1,Vocationally-Related Qualification,,Administration,Approved,True,01/05/2018,31/07/2026,,True,01/05/2018,31/07/2026,,True,01/07/2017,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,"AIM Qualifications Level 1 Diploma in Skills for Working in Business, Administration and Customer Service Industries",AIM Qualifications,60315891,Level 1,Vocationally-Related Qualification,,Administration,Approved,True,01/05/2018,31/07/2026,,True,01/05/2018,31/07/2026,,True,01/07/2017,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,Ascentis Level 1 Certificate for Introduction to Customer Service,Ascentis,6001684X,Level 1,Other Vocational Qualification,,Administration,Approved,True,01/08/2011,31/07/2026,,True,01/08/2011,31/07/2026,,True,01/08/2016,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,"Ascentis Level 1 Award In Understanding Employment, Business and Enterprise",Ascentis,60062496,Level 1,Other Life Skills Qualification,,Administration,Approved,True,01/09/2012,31/07/2026,,True,01/09/2012,31/07/2026,,True,01/08/2016,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,BIIAB Level 1 Certificate in Customer Service,BIIAB,60137332,Level 1,Vocationally-Related Qualification,,Administration,Approved,True,01/09/2014,31/07/2026,,True,01/09/2014,31/07/2026,,True,01/08/2016,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,BIIAB Level 1 Certificate in Business Administration,BIIAB,60137368,Level 1,Vocationally-Related Qualification,,Administration,Approved,True,01/09/2014,31/07/2026,,True,01/09/2014,31/07/2022,,True,01/08/2016,31/07/2022,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,BIIAB Level 1 Award In Customer Service,BIIAB,60167890,Level 1,Vocationally-Related Qualification,,Administration,Approved,True,01/10/2015,31/07/2026,,True,01/10/2015,31/07/2026,,True,01/08/2016,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,BIIAB Level 1 Award In Business Administration ,BIIAB,60167968,Level 1,Vocationally-Related Qualification,,Administration,Approved,True,01/10/2015,31/07/2026,,True,01/10/2015,31/07/2026,,True,01/08/2016,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,City & Guilds Level 1 Award in Customer Service,City and Guilds of London Institute,50036828,Level 1,Vocationally-Related Qualification,,Administration,Approved,True,07/04/2008,31/07/2026,,True,07/04/2008,31/07/2026,,True,01/08/2016,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,City & Guilds Level 1 Award in Office Procedures,City and Guilds of London Institute,50074118,Level 1,Vocationally-Related Qualification,,Administration,Approved,True,15/03/2010,31/12/2024,,True,15/03/2010,31/07/2021,,True,01/08/2016,31/07/2021,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
